Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
83,148,c5b4,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-1,-1,1,0,0,10,0,0,0,0,0,0,-5,0,-1,-1,0,0,-10,0,0,-1,0,0,0,0,0,0,0,-5
84,148,c3b4,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,-1,1,0,0,10,0,0,0,0,0,0,-5,0,-1,-1,0,0,-10,0,0,-1,0,0,0,0,0,0,0,-5
85,148,e7e6,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1,1,0,0,10,0,0,0,0,0,0,-5,0,-1,-1,0,0,-10,0,0,-1,0,0,0,0,0,0,0,-5
86,148,b4b5,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1,1,0,0,10,0,0,0,0,-10,0,-5,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
87,148,d5d4,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1,1,0,0,10,0,0,0,0,-10,0,-5,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
88,148,a4a5,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0,1,0,0,10,0,0,0,0,-10,0,-5,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
89,148,e6e5,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,1,0,0,10,0,0,0,0,-10,0,-5,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
90,148,f2f7,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,-10,0,0,10,0,0,0,0,0,0,-5,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
91,148,g6d6,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,0,0,-10,0,0,10,0,0,0,0,0,0,-5,0,-1,-1,0,0,0,5,0,-1,0,0,0,0,0,0,0,-5
83,229,b2d3,0-1,0,0,0,0,0,0,0,5,0,-3,0,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
