Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
111,13465,f5g4,0-1,0,0,0,0,0,0,0,5,0,0,-1,0,10,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-5
112,13465,e2f2,0-1,0,0,0,0,0,0,0,5,0,0,-1,0,10,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-5
113,13465,g4d1,0-1,0,0,0,0,0,0,0,5,0,0,-1,0,0,10,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-5
114,13465,f2g3,0-1,0,0,0,-3,0,0,0,5,0,0,-1,0,0,10,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-5
115,13465,c3b2,0-1,0,0,0,-3,0,0,0,5,0,0,-1,0,0,0,0,0,0,0,-10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-5
55,13508,a5c6,1-0,0,0,0,0,0,0,10,5,0,1,5,0,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,-1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-3,0,-1,0,0,0,0,0,0,0,-10,-5
56,13508,c2c6,1-0,0,0,0,0,0,0,10,5,0,1,5,0,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-1,0,-1,0,0,-3,0,-1,0,0,0,0,0,0,0,-10,-5
46,13826,h3h4,0-1,0,0,5,0,0,0,10,5,1,1,0,0,0,1,-1,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,9,0,0,0,0,-1,1,0,-1,0,0,0,-3,0,-1,0,-3,-1,-1,-1,0,0,-9,0,0,0,-5,0,0,0,0,0,-10,-5
47,13826,f8f4,0-1,0,0,5,0,0,0,10,5,1,1,0,0,0,1,-1,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,9,1,0,0,0,-1,1,0,-1,0,0,0,-3,0,-1,0,-3,-1,-1,-1,0,0,-9,0,0,0,-5,0,0,0,0,0,-10,-5
94,13898,f2e3,0-1,0,3,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,-3,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,3,0,0,0,-5,0,-3,0,0,0,0,0
95,13898,b5b4,0-1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-3,0,10,0,1,0,-1,0,0,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,3,0,0,0,-5,0,-3,0,0,0,0,0
96,13898,e3d3,0-1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-3,0,10,0,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,3,0,0,0,-5,0,-3,0,0,0,0,0
97,13898,c8f5,0-1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-3,10,0,0,1,0,-1,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,3,0,0,0,-5,0,-3,0,0,0,0,0
63,13916,g8g7,0-1,0,0,0,0,0,3,0,5,1,1,0,-5,0,-9,-3,10,0,9,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-10,-5
64,13916,h2h3,0-1,0,0,0,0,0,3,0,5,1,1,0,-5,0,-9,-3,10,0,9,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-10,-1,0,0,0,0,0,0,0,-5
65,13916,g2f4,0-1,0,0,0,0,0,3,0,5,1,1,0,-5,0,-9,-3,0,0,9,0,0,0,1,0,10,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-10,-1,0,0,0,0,0,0,0,-5
125,13931,a5a4,1-0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,3,10,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-10,1,-5,0,0,0,0,0,0,0
126,13931,d6d7,1-0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,10,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-10,1,-5,0,0,0,0,0,0,0
127,13931,d1e1,1-0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,10,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-10,1,-5,0,0,0,0,0,0,0
128,13931,e5d6,1-0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,10,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-10,1,-5,0,0,0,0,0,0,0
129,13931,e1d1,1-0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,-1,0,10,0,0,0,0,0,0,0,1,0,0,-10,1,-5,0,0,0,0,0,0,0
130,13931,d7d8q,1-0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,-1,0,10,0,0,0,0,0,0,0,1,0,0,-10,1,-5,0,0,0,0,0,0,0
62,14048,b1c2,1-0,5,10,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,-3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-9,-10
63,14048,g8a2,1-0,5,0,0,0,9,0,0,0,0,0,10,0,0,1,0,0,1,0,-3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-9,-10
64,14048,c2d3,1-0,5,0,0,0,9,0,0,0,-9,0,10,0,0,1,0,0,1,0,-3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-10
87,14315,b3b2,1-0,0,0,0,0,0,5,0,0,0,0,-1,0,10,0,0,0,0,-1,0,0,0,0,0,1,0,0,-10,-3,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
88,14315,f1f5,1-0,0,0,0,0,0,5,0,0,0,-1,-1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,-10,-3,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
89,14315,c2c1q,1-0,0,0,0,0,0,0,0,0,0,-1,-1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,-10,-3,0,0,1,0,0,0,-3,0,0,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
90,14315,f5c5,1-0,0,0,-1,0,0,0,0,0,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,-10,-3,0,0,1,0,0,0,-3,0,0,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-5
70,14484,e4f6,1-0,0,0,0,-5,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,-5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,5,0,0,0,0,1,0,0,0,0,0,0,0,-10,0,0
71,14484,f8g7,1-0,0,0,0,-5,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,0,-1,5,0,0,0,0,1,0,0,0,0,0,0,0,-10,0,0
72,14484,f6h7,1-0,0,0,0,-5,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,3,0,-1,5,0,0,0,0,1,-10,0,0,0,0,0,0,0,0,0
75,14635,f6e6,0-1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,-3,0,0,0,-1,1,0,0,1,-1,0,0,0,0,-1,0,-3,3,0,0,0,0,0,-1,0,0,0,0,-1,0,-10,0,0,0,0,0,0,-5
76,14635,a1e1,0-1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,-3,0,0,0,-1,1,0,0,1,-1,0,0,0,0,-1,0,-3,3,0,0,0,0,0,-1,0,0,0,0,-1,0,-10,0,0,0,0,0,0,-5
77,14635,e6e1,0-1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,-3,0,0,0,-1,1,0,0,1,-1,0,0,0,0,-1,0,-3,3,0,0,0,0,0,-1,0,0,0,0,-1,0,-10,0,0,0,0,0,0,-5
22,14794,c3b5,1-0,5,0,3,0,0,0,10,5,1,1,0,0,9,1,1,1,0,0,3,0,0,3,0,0,0,-3,1,0,3,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,-3,-9,-1,-3,-1,-1,-1,-5,0,0,0,-10,-3,0,-5
47,14809,e4d3,1-0,0,0,0,5,0,0,0,10,0,0,9,0,0,0,1,0,0,0,0,1,-9,3,0,1,0,0,1,0,-1,0,0,0,0,1,-3,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,-10,-1,-5,0,0,0,0,0,0,-5
48,14809,c2c3,1-0,0,0,0,5,0,0,0,10,0,0,9,0,0,0,1,0,0,0,0,-1,-9,3,0,1,0,0,1,0,0,0,0,0,0,1,-3,0,0,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,-10,-1,-5,0,0,0,0,0,0,-5
78,14958,b7b8q,0-1,0,0,0,0,0,0,0,0,1,1,0,0,0,-9,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-10,0,0,0,0,0,0,0,0,-5
79,14958,f2g2,0-1,0,0,0,0,0,0,0,0,1,1,0,0,0,-9,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-10,0,0,1,0,0,0,0,0,-5
80,14958,h3h4,0-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-9,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-10,0,0,1,0,0,0,0,0,-5
81,14958,g2g4,0-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-10,0,0,1,0,0,0,0,0,-5
