Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
34,9136,e3a7,1-0,5,0,0,0,0,0,10,5,1,1,0,0,0,1,1,1,0,0,1,0,3,3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-3,0,0,-5,0,0,-3,3,-1,-1,-1,0,0,-3,0,0,0,0,-10
68,9184,h5h8,1-0,0,0,0,0,0,0,10,5,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,-1,9,0,0,0,3,0,-3,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,-10,0,0
69,9184,f6g8,1-0,0,0,0,0,0,0,10,5,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,3,0,-3,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,-10,0,9
70,9184,h8g8,1-0,0,0,0,0,0,0,10,5,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,-10,-3,9
152,9352,h4g5,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
153,9352,f3g2,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
154,9352,g5f6,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,-1,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
155,9352,e3e4,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,-1,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
156,9352,f6e7,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
157,9352,g2g5,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-5
158,9352,e7d7,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,-5
159,9352,g5d5,0-1,0,0,0,0,0,0,0,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,-5
92,9424,g2h3,0-1,0,0,0,0,0,0,0,5,1,0,0,0,-9,0,10,1,0,1,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-10,-5
93,9424,e2f3,0-1,0,0,0,0,0,0,0,5,1,0,0,0,-9,0,0,1,0,1,0,0,0,1,1,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-10,-5
94,9424,b4h4,0-1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,-9,1,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-10,-5
95,9424,f3f1,0-1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,-9,1,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-10,-5
68,9501,b4b5,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,10,1,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-3,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-10,-5
69,9501,h7h5,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,10,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,-3,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-10,-5
