Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
83,15380,h7g8,1-0,0,0,0,0,0,0,0,5,-5,0,0,0,0,1,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,9,0,0,-10,0,0,0,0,0,0,0,-5
84,15380,e7e6,1-0,0,0,0,0,0,0,0,5,-5,0,0,0,0,1,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,9,0,0,0,0,0,0,0,0,0,-10,-5
85,15380,g8g7,1-0,0,0,0,0,0,0,0,5,-5,0,0,0,0,1,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,9,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-10,-5
86,15380,e6a2,1-0,0,0,0,0,0,0,0,5,-5,0,0,0,0,1,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,9,0,-1,-1,0,-1,0,0,0,0,-10,0,0,0,0,0,0,0,0,-5
43,15579,f6d4,1-0,5,0,0,9,0,5,10,0,1,1,1,0,0,0,1,0,0,0,0,1,0,3,-3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-9,0,0,-1,-3,0,0,0,-1,-1,-1,-5,0,0,0,0,0,-10,-5
44,15579,f3d4,1-0,5,0,0,9,0,5,10,0,1,1,1,0,0,0,1,0,0,0,0,1,0,3,-3,1,0,0,0,-9,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-3,0,0,0,-1,-1,-1,-5,0,0,0,0,0,-10,-5
93,15620,d3d4,1-0,0,0,0,0,0,0,10,5,1,0,0,0,0,0,0,0,0,1,0,-9,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,3,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,15620,g1h2,1-0,0,0,0,0,0,0,10,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,-9,0,0,0,0,0,0,0,-1,1,0,3,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,15620,d4f2,1-0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,10,0,1,0,0,0,0,1,9,0,0,0,-9,0,0,0,0,0,0,0,-1,1,0,3,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,15620,h3g2,1-0,0,0,0,0,0,0,0,5,1,0,0,0,0,-9,0,10,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,3,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,15703,d1e1,0-1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
117,15703,g4h3,0-1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
118,15703,e1f1,0-1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
119,15703,h3h2,0-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
120,15703,f1f2,0-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
121,15703,g5g4,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
93,15777,e7d6,1-0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-10,5,0,0,0,0,0,0,0,0,9,-5
94,15777,g8g6,1-0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,-5
95,15777,d6e5,1-0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,-10,0,0,9,-1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-5
96,15777,f7f5,1-0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,-9,0,0,0,-10,0,0,0,0,0,0,0,0,0,9,-1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-5
115,15857,g8f7,1-0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0,0,1,0,0,-1,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,3,0,0,0,-1,0,0,0,3,0,9,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,-10,-5
116,15857,f6d7,1-0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0,0,1,0,0,-1,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,3,0,0,0,-1,0,0,0,3,0,9,0,0,0,-9,0,-10,0,0,0,0,0,0,0,0,0,-5
117,15857,d3d2,1-0,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,0,0,1,0,0,-1,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,3,0,0,0,-1,0,0,0,0,0,9,0,0,0,3,0,-10,0,0,0,0,0,0,0,0,0,-5
118,15857,d7e5,1-0,0,0,0,0,0,0,0,0,0,1,-5,-1,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,3,0,0,0,-1,0,0,0,0,0,9,0,0,0,3,0,-10,0,0,0,0,0,0,0,0,0,-5
119,15857,f7g8,1-0,0,0,0,0,0,0,0,0,0,1,-5,-1,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,3,3,0,0,0,-1,0,0,0,0,0,9,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-5
120,15857,h6g7,1-0,0,0,0,0,0,0,0,0,0,1,-5,-1,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,3,3,0,0,0,-1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-5
63,15941,c8c3,0-1,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,1,5,0,-1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-9,0,0,0,-10,0
64,15941,h3h4,0-1,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,-9,0,0,0,1,5,0,-1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-10,0
65,15941,c3b2,0-1,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,-9,0,0,0,1,0,0,-1,0,0,1,3,0,5,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-10,0
53,16009,d1d8,1-0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,-1,0,-1,9,0,0,0,0,-3,-1,-3,0,0,0,0,-10,0,-5
54,16009,b7f7,1-0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,-1,0,-1,9,0,0,0,0,-3,-1,-3,0,0,0,0,-10,0,-5
36,16013,f3g2,1-0,5,0,3,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,3,3,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,-9,0,0,-1,0,0,0,0,0,-1,-1,0,0,-3,-1,0,-1,-5,-3,0,0,0,-10,-3,9
74,16034,e7h7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-10,0,-1,0,0,0,0,0,0,0,0,0,-5,0,0,-9,0
75,16034,g8h7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-10,0,-1,0,0,0,0,0,0,0,0,0,-5,0,0,-9,0
76,16034,f5h7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-10,0,-1,0,0,0,0,0,-9,0,0,0,-5,0,0,0,0
71,16141,f6g5,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,-10,1,0,1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-5
72,16141,f4g5,0-1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,-10,1,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-5
